method,distribution,n,m,load_factor,num_hash_functions,trial,insert_time_total,insert_time_per_op,search_time_total,search_time_per_op,search_comparisons_total,search_comparisons_avg,max_chain_length,average_chain_length,non_empty_buckets,empty_buckets,chain_length_stdev,collision_count,unique_keys,p,coefficients
universal,uniform,1000,2000,0.5,3,29,0.0024887920008040965,2.4887920008040964e-06,0.0009311249996244442,1.8622499992488883e-06,831,1.662,4,0.476,766,1234,0.6822199058954524,186,952,2.305843009213694e+18,"[[1172432318357405658, 1841538480035479711], [610889197299678937, 356910957590253921], [1744744512350649053, 459482189801702091]]"
fixed,sorted,1000,2000,0.5,1,0,0.0012951669996255077,1.2951669996255077e-06,0.0003296670001873281,6.593340003746562e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,0,0.002517708999221213,2.517708999221213e-06,0.0009063750003406312,1.8127500006812624e-06,764,1.528,4,0.5,833,1167,0.6519202405202649,167,1000,2.305843009213694e+18,"[[256711980439665054, 1709899044117486289], [564682175042572888, 321752549611034334], [236337776990707882, 1707863537360842093]]"
fixed,sorted,1000,2000,0.5,1,1,0.0012820420015486889,1.2820420015486888e-06,0.00033629200333962217,6.725840066792443e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,1,0.0024312500027008355,2.4312500027008355e-06,0.0009090419989661314,1.8180839979322628e-06,838,1.676,4,0.5,827,1173,0.6625707509390978,173,1000,2.305843009213694e+18,"[[659665203979258006, 1758630025113616856], [2212240429613108902, 852878681887507335], [1610489816920689347, 222016741360720591]]"
fixed,sorted,1000,2000,0.5,1,2,0.0012903330025437754,1.2903330025437753e-06,0.0003349580001668073,6.699160003336147e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,2,0.0024981659989862237,2.4981659989862235e-06,0.000896166999154957,1.792333998309914e-06,782,1.564,3,0.5,835,1165,0.6526867548832288,165,1000,2.305843009213694e+18,"[[1199085610155232937, 1617812241682181496], [268989063807004320, 875226211544593835], [667698580330647039, 518091674429352682]]"
fixed,sorted,1000,2000,0.5,1,3,0.0012876669970864896,1.2876669970864895e-06,0.00033016699671861716,6.603339934372343e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,3,0.0024842920029186644,2.4842920029186645e-06,0.0009247499983757734,1.849499996751547e-06,1066,2.132,5,0.5,735,1265,0.8,265,1000,2.305843009213694e+18,"[[963130306873368709, 594124941275654819], [699113413627218811, 49790444920847614], [1116618126344352917, 264798812748597129]]"
fixed,sorted,1000,2000,0.5,1,4,0.0012985409994143993,1.2985409994143993e-06,0.0003296249997220002,6.592499994440005e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,4,0.0025468339990766253,2.5468339990766252e-06,0.0009109579987125471,1.8219159974250943e-06,774,1.548,3,0.5,865,1135,0.623698645180507,135,1000,2.305843009213694e+18,"[[176127807941085543, 92145436972157049], [1353304280071655414, 2046636642761636536], [1463118878522575776, 350413271360474182]]"
fixed,sorted,1000,2000,0.5,1,5,0.0012926659983349964,1.2926659983349965e-06,0.00032645899773342535,6.529179954668507e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,5,0.002471957999659935,2.471957999659935e-06,0.0009717920002003666,1.9435840004007333e-06,1170,2.34,6,0.5,750,1250,0.7687652437513028,250,1000,2.305843009213694e+18,"[[144173240364996770, 1276607102766329742], [1316153465216681486, 593588258721341972], [891339916669062610, 1419387771326649839]]"
fixed,sorted,1000,2000,0.5,1,6,0.0013210409997554962,1.3210409997554961e-06,0.0003382089998922311,6.764179997844622e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,6,0.0025304170012532268,2.530417001253227e-06,0.0009046250015671831,1.809250003134366e-06,733,1.466,3,0.5,831,1169,0.6542170893518451,169,1000,2.305843009213694e+18,"[[727386515324539458, 1284136067485901726], [1233138577490571038, 1828907452299493987], [1165171476919621068, 1646066583754636611]]"
fixed,sorted,1000,2000,0.5,1,7,0.0012996250006835908,1.2996250006835908e-06,0.00033083300149883144,6.616660029976629e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,7,0.002482250001776265,2.482250001776265e-06,0.0009098330010601785,1.819666002120357e-06,749,1.498,3,0.5,821,1179,0.6648308055437865,179,1000,2.305843009213694e+18,"[[793970665397899006, 2152094108188559335], [745929175751854539, 1278256298576207987], [1862522474300937406, 1567653588555493210]]"
fixed,sorted,1000,2000,0.5,1,8,0.0012955420024809428,1.2955420024809428e-06,0.00033229200198547915,6.645840039709583e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,8,0.002520416001061676,2.5204160010616762e-06,0.0009191669996653218,1.8383339993306436e-06,967,1.934,4,0.5,752,1248,0.7362064927722385,248,1000,2.305843009213694e+18,"[[1973099216186019426, 839551891445904909], [2054075847285760178, 1596895736779450158], [1768356806526079850, 761040643918656312]]"
fixed,sorted,1000,2000,0.5,1,9,0.0012782909980160184,1.2782909980160185e-06,0.00032574999931966886,6.514999986393377e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,9,0.0024812500014377292,2.4812500014377293e-06,0.0009347919985884801,1.8695839971769601e-06,956,1.912,5,0.5,735,1265,0.7529940238806679,265,1000,2.305843009213694e+18,"[[1933427113282973200, 1273492775044695229], [567420718719220919, 2291110579130834537], [1919842552580472723, 589921478534064354]]"
fixed,sorted,1000,2000,0.5,1,10,0.001274457998079015,1.274457998079015e-06,0.0003284580016043037,6.569160032086074e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,10,0.002529833000153303,2.529833000153303e-06,0.0009234999997715931,1.8469999995431863e-06,853,1.706,5,0.5,787,1213,0.720416546173115,213,1000,2.305843009213694e+18,"[[618696799174358726, 2029214271970554437], [1181946042011416434, 1971785935387254006], [855518877651879508, 78523067754061221]]"
fixed,sorted,1000,2000,0.5,1,11,0.0013007499983359594,1.3007499983359593e-06,0.00033683299989206716,6.736659997841343e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,11,0.0024338750008610077,2.4338750008610078e-06,0.0009318750016973354,1.8637500033946708e-06,1030,2.06,4,0.5,753,1247,0.744983221287567,247,1000,2.305843009213694e+18,"[[1967359095987829717, 498185230560009946], [1157680175712590001, 1113020793331031894], [1655376568515428791, 831730782862272696]]"
fixed,sorted,1000,2000,0.5,1,12,0.0012940829983563162,1.2940829983563162e-06,0.00032841599750099704,6.56831995001994e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
universal,sorted,1000,2000,0.5,3,12,0.002531707999878563,2.531707999878563e-06,0.0009287920001952443,1.8575840003904887e-06,1011,2.022,4,0.5,771,1229,0.7238784428341543,229,1000,2.305843009213694e+18,"[[2258536001366688123, 1012121370449003109], [686970057059376321, 2051824648104402063], [1124175962628406669, 504983195232581899]]"
fixed,sorted,1000,2000,0.5,1,13,0.0012699580001935828,1.2699580001935828e-06,0.00033816599898273125,6.763319979654625e-07,500,1.0,1,0.5,1000,1000,0.5,0,1000,,
